smiles,type
NC1CCCCC1,primary
C=CCCN,primary
NCC1=CC=CC=C1,primary
NCC1=CC=C(C#N)C=C1,primary
NCC1=CC=C(OC)C=C1,primary
N[C@@H](C(C=C1)=CC2=C1C=CC=C2)C,primary
NCC1=CC(F)=C(OC2=CC=C(O[C@H](C)C(CCCC)=O)C=C2)C=C1 ,primary
NC[C@@H]1CC[C@@H]2C(C)(C)[C@H]1C2 ,primary
NCCC(C=C1)=CC(OC)=C1OC ,primary
NCCCN1C(CCCC1)C,primary
O=C(NCCCN)OC(C)(C)C ,primary
NCCC1=CNC2=CC=CC=C12,primary
NC(C)(C)C,primary
N[C@H]1[C@@H](CC[C@H](C1)C)C(C)C,primary
NC1=CC=C(OC)C=C1,primary
NC1=CC(OC)=C(OC)C(OC)=C1,primary
NC1=CC=C(NC=C2)C2=C1,primary
O=C([C@@H](N)CO)OC,primary
O=C([C@@H](N)CO)OCC1=CC=CC=C1,primary
O=C([C@@H](N)[C@H](CC)C)OC,primary
NCC1=CC=CC=N1,primary
NCC1=CC=CO1,primary
NCC1=CC=CS1,primary
[OMe]C1=C(C=CC(CCNC)=C1)[OMe],secondary
CNCCCN1C2=C(C=CC=C2)CCC3=C1C=CC=C3,secondary
CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C23,secondary
O=C(OCC)C1CCNCC1,secondary
O=C(N(C)OC)C1CCNCC1,secondary
BrC1CCNCC1,secondary
CC(C(C)(C)O1)(C)OB1C2CCNCC2,secondary
O=[N+](C1=CC=C(N2CCNCC2)C=C1)[O-],secondary
CC1(C)C(C)(C)OB(C2=CC(N3CCNCC3)=NC=C2)O1,secondary
O=C(OC(C)(C)C)[C@H]1NCCC1,secondary
O=C1CC2CCC(C1)N2,secondary
ClC1=CC2=C(C=C1)OC3=CC=CC=C3N=C2N4CCNCC4,secondary
FC(C=C1)=CC=C1[C@@H]2CCNC[C@H]2COC3=CC(OCO4)=C4C=C3,secondary
ClC1=CC=C2C(CCC3=C(/C2=C4CCNCC\4)N=CC=C3)=C1,secondary
